Estas plantillas coinciden con su entrada:

Nombre de la pl...  Nombre corto                            Idioma      Etiquetas                                                                                                                                                                                                               
DevExpress v26....  dx.xaf.blazor.popupwindowtemplate       [C#]        DevExpress/XAF/Popup/Blazor                                                                                                                                                                                             
DevExpress v26....  dx.win.reportingitem                    [C#],VB     DevExpress/Windows/Desktop/WinForms/WPF/Blazor/Web                                                                                                                                                                      
DevExpress v26....  dx.win.maui                             [C#]        DevExpress/Windows/Desktop/WinForms/MAUI/Mobile/Android/iOS/MVVM/Security/Authentication/Authorization/Web API/Service/API/Cloud/EF Core/OData/Swagger/Access Control/RBAC                                              
DevExpress v26....  dx.wpf.maui                             [C#]        DevExpress/Windows/Desktop/WPF/MAUI                                                                                                                                                                                     
DevExpress v26....  dx.win.aichat                           [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.aichatrag                        [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.appbuilder                       [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.dashboard                        [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win                                  [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.customeditor                     [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.customgrid                       [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.directxform                      [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.directx                          [C#]        DevExpress/Windows/Desktop/WinForms/High DPI/DirectX                                                                                                                                                                    
DevExpress v26....  dx.win.fluent                           [C#]        DevExpress/Windows/Desktop/WinForms/Fluent UI                                                                                                                                                                           
DevExpress v26....  dx.win.fluentform                       [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.form                             [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.grid                             [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.map                              [C#],VB     DevExpress/Windows/Desktop/WinForms/Office/Azure                                                                                                                                                                        
DevExpress v26....  dx.win.middletier                       [C#]        DevExpress/Windows/Desktop/WinForms/Security/Authentication/Authorization/Web API/Service/API/Cloud/EF Core/Access Control/RBAC                                                                                         
DevExpress v26....  dx.win.modular                          [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.modularform                      [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.modularusercontrol               [C#]        DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.mvvm                             [C#]        DevExpress/Windows/Desktop/WinForms/MVVM                                                                                                                                                                                
DevExpress v26....  dx.win.odata                            [C#]        DevExpress/Windows/Desktop/WinForms/Security/Authentication/Authorization/Web API/Service/API/Cloud/EF Core/OData/Swagger/Access Control/RBAC                                                                           
DevExpress v26....  dx.win.outlook                          [C#]        DevExpress/Windows/Desktop/WinForms/Office/Outlook                                                                                                                                                                      
DevExpress v26....  dx.win.pdf                              [C#],VB     DevExpress/Windows/Desktop/WinForms/Office/PDF                                                                                                                                                                          
DevExpress v26....  dx.win.reporting                        [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.ribbonform                       [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
DevExpress v26....  dx.win.ribbon                           [C#],VB     DevExpress/Windows/Desktop/WinForms                                                                                                                                                                                     
